Function,f_bias,Dimension,Algorithm,Run,Fitness,Time(s)
F9,2300.0,10,AO,2,2.670120721393026e+03,0.5228
F9,2300.0,10,AO,3,2.673405319068436e+03,0.5236
F9,2300.0,10,DBO,1,2.765816757882935e+03,0.4998
F9,2300.0,10,DBO,2,2.699132712965081e+03,0.4997
F9,2300.0,10,DBO,3,2.699824859606496e+03,0.5023
F10,2400.0,10,WSOA,1,2.737402190527053e+03,0.7486
F10,2400.0,10,WSOA,2,2.553881301070342e+03,0.7452
F10,2400.0,10,WSOA,3,7.895454823297557e+02,0.6974
F10,2400.0,10,PSO,1,9.485865579479712e+02,0.5083
F10,2400.0,10,PSO,2,6.576219993757732e+02,0.4862
F10,2400.0,10,PSO,3,5.660001426697168e+02,0.4870
F10,2400.0,10,DE,1,2.614242020786122e+03,0.7142
F10,2400.0,10,DE,2,1.838053026290138e+03,0.7196
F10,2400.0,10,DE,3,2.087339766302260e+03,0.7192
F10,2400.0,10,GA,1,2.599123415735074e+03,0.6365
F10,2400.0,10,GA,2,2.218021673383875e+03,0.6311
F10,2400.0,10,GA,3,9.465698179771789e+02,0.6417
F10,2400.0,10,ABC,1,1.425239774965833e+03,0.7003
F10,2400.0,10,ABC,2,1.206571398466137e+03,0.7017
F10,2400.0,10,ABC,3,1.327526826938148e+03,0.6980
F10,2400.0,10,GWO,1,2.528268462717759e+03,0.6465
F10,2400.0,10,GWO,2,2.408932004445156e+03,0.6447
F10,2400.0,10,GWO,3,1.984421282923302e+03,0.6379
F10,2400.0,10,WOA,1,2.579363571668625e+03,0.6083
F10,2400.0,10,WOA,2,-5.138442207466337e+02,0.5919
F10,2400.0,10,WOA,3,1.067575451130560e+02,0.6075
F10,2400.0,10,SCA,1,2.184400947012937e+03,0.5602
F10,2400.0,10,SCA,2,2.033321299653576e+03,0.5646
F10,2400.0,10,SCA,3,1.647269091341523e+03,0.5647
F10,2400.0,10,HHO,1,2.613916948840165e+03,1.0492
F10,2400.0,10,HHO,2,2.739388143692798e+03,1.0306
F10,2400.0,10,HHO,3,7.932841440477682e+02,1.0724
F10,2400.0,10,MPA,1,2.712812724881726e+03,0.5763
F10,2400.0,10,MPA,2,-4.667609251059603e+02,0.5683
F10,2400.0,10,MPA,3,7.828552100843719e+02,0.5865
F10,2400.0,10,AO,1,1.492615535747668e+03,0.5577
F10,2400.0,10,AO,2,1.980911424833649e+03,0.5469
F10,2400.0,10,AO,3,7.154811482440432e+02,0.5594
F10,2400.0,10,DBO,1,1.872614681654573e+03,0.5520
F10,2400.0,10,DBO,2,1.802260121891856e+03,0.5417
F10,2400.0,10,DBO,3,1.065214252105308e+03,0.5440
F11,2600.0,10,WSOA,1,2.600019486058525e+03,1.1774
F11,2600.0,10,WSOA,2,2.600002604352351e+03,1.1640
F11,2600.0,10,WSOA,3,2.600045240279429e+03,1.1543
F11,2600.0,10,PSO,1,2.648342870488209e+03,0.8504
F11,2600.0,10,PSO,2,2.633004668041830e+03,0.8469
F11,2600.0,10,PSO,3,3.468585253994899e+03,0.8719
F11,2600.0,10,DE,1,2.600459956975058e+03,1.0959
F11,2600.0,10,DE,2,2.600329998646904e+03,1.1097
F11,2600.0,10,DE,3,2.600341280033539e+03,1.1010
F11,2600.0,10,GA,1,2.600871705352401e+03,0.9748
F11,2600.0,10,GA,2,2.600610441077822e+03,0.9758
F11,2600.0,10,GA,3,2.602257737011147e+03,1.0019
F11,2600.0,10,ABC,1,2.602236042342442e+03,1.0803
F11,2600.0,10,ABC,2,2.607019286155822e+03,1.0848
F11,2600.0,10,ABC,3,2.602389389052658e+03,1.0863
F11,2600.0,10,GWO,1,2.600213739173278e+03,1.0251
F11,2600.0,10,GWO,2,2.602920881509023e+03,1.0271
F11,2600.0,10,GWO,3,3.463352850612163e+03,1.0552
F11,2600.0,10,WOA,1,2.613079041162082e+03,1.0007
F11,2600.0,10,WOA,2,2.600390201944576e+03,0.9971
F11,2600.0,10,WOA,3,3.463411082479020e+03,1.0215
F11,2600.0,10,SCA,1,2.627130960003156e+03,0.9590
F11,2600.0,10,SCA,2,2.627458264052951e+03,0.9777
F11,2600.0,10,SCA,3,2.645777413202065e+03,0.9694
F11,2600.0,10,HHO,1,2.600641365772859e+03,1.7421
F11,2600.0,10,HHO,2,2.621903126602564e+03,1.7259
F11,2600.0,10,HHO,3,2.600530182834967e+03,1.7398
F11,2600.0,10,MPA,1,2.600065106930202e+03,0.9817
F11,2600.0,10,MPA,2,2.600045425375913e+03,0.9754
F11,2600.0,10,MPA,3,2.600135331236365e+03,0.9756
F11,2600.0,10,AO,1,2.600007427453308e+03,0.9287
F11,2600.0,10,AO,2,2.600004331230219e+03,0.9380
F11,2600.0,10,AO,3,2.622499029430986e+03,0.9523
F11,2600.0,10,DBO,1,2.629916465209536e+03,0.9315
F11,2600.0,10,DBO,2,2.612437280265599e+03,0.9492
F11,2600.0,10,DBO,3,2.723554163950794e+03,0.9444
F12,2700.0,10,WSOA,1,2.853726304211561e+03,1.2708
F12,2700.0,10,WSOA,2,2.859991396523918e+03,1.2770
F12,2700.0,10,WSOA,3,2.862879829017202e+03,1.2988
F12,2700.0,10,PSO,1,2.903994372963806e+03,0.8953
F12,2700.0,10,PSO,2,2.891168560240407e+03,0.9051
F12,2700.0,10,PSO,3,2.869875393104501e+03,0.9032
F12,2700.0,10,DE,1,2.857135405603567e+03,1.1785
F12,2700.0,10,DE,2,2.860969335900860e+03,1.1660
F12,2700.0,10,DE,3,2.858576119514672e+03,1.1765
F12,2700.0,10,GA,1,2.880859903477538e+03,1.0499
F12,2700.0,10,GA,2,2.749521256351505e+03,1.0429
F12,2700.0,10,GA,3,2.882991489282481e+03,1.0634
F12,2700.0,10,ABC,1,2.872722231418079e+03,1.1411
F12,2700.0,10,ABC,2,2.354933955657538e+03,1.1493
F12,2700.0,10,ABC,3,2.647912067743723e+03,1.1401
F12,2700.0,10,GWO,1,2.851983122424949e+03,1.1059
F12,2700.0,10,GWO,2,2.851171639459344e+03,1.0985
F12,2700.0,10,GWO,3,2.859886953516641e+03,1.1035
F12,2700.0,10,WOA,1,2.854917195308892e+03,1.0582
F12,2700.0,10,WOA,2,2.860595014276909e+03,1.0666
F12,2700.0,10,WOA,3,2.863160304387825e+03,1.0661
F12,2700.0,10,SCA,1,2.889655535811065e+03,1.0277
F12,2700.0,10,SCA,2,2.859630551229722e+03,1.0334
F12,2700.0,10,SCA,3,2.890197445862903e+03,1.0299
F12,2700.0,10,HHO,1,2.997974079338358e+03,1.8678
F12,2700.0,10,HHO,2,2.878364770230225e+03,1.8286
F12,2700.0,10,HHO,3,2.896853698780165e+03,1.8359
F12,2700.0,10,MPA,1,2.862492911212960e+03,1.0427
F12,2700.0,10,MPA,2,2.831362078945184e+03,1.0472
F12,2700.0,10,MPA,3,2.850288176705652e+03,1.0310
F12,2700.0,10,AO,1,2.962573284678973e+03,1.0105
F12,2700.0,10,AO,2,2.909473573025008e+03,1.0187
F12,2700.0,10,AO,3,2.885323548338414e+03,1.0085
F12,2700.0,10,DBO,1,2.866622717306735e+03,0.9821
F12,2700.0,10,DBO,2,2.873034023205747e+03,0.9899
F12,2700.0,10,DBO,3,2.847779680987418e+03,0.9916
