Function,f_bias,Dimension,Algorithm,Best,Worst,Mean,Median,Std,Avg_Time(s)
F5,900.0,10,DE,9.000040858684898e+02,9.000074220161374e+02,9.000051986504842e+02,9.000040880668256e+02,1.572157186546800e-03,0.2721
F5,900.0,10,GA,9.014026814470445e+02,9.028080477492241e+02,9.022850139986722e+02,9.026443127997479e+02,6.274739474890936e-01,0.2596
F5,900.0,10,ABC,9.007572097796555e+02,9.023865367830534e+02,9.016967440988810e+02,9.019464857339342e+02,6.882125564144308e-01,0.2695
F5,900.0,10,GWO,9.000048374661710e+02,9.000285225325154e+02,9.000155881641632e+02,9.000134044938034e+02,9.791898151513850e-03,0.2624
F5,900.0,10,WOA,9.000015011173494e+02,9.022729140149681e+02,9.009399181908939e+02,9.005453394403639e+02,9.683657816632579e-01,0.2069
F5,900.0,10,SCA,9.004409899339695e+02,9.019384159459350e+02,9.010766072865960e+02,9.008504159798835e+02,6.318982226867529e-01,0.1873
F5,900.0,10,HHO,9.004554036075965e+02,9.006352800795182e+02,9.005454629427627e+02,9.005457051411732e+02,7.343446185910057e-02,0.3089
F5,900.0,10,MPA,9.000008326893554e+02,9.005439658022240e+02,9.002115359323349e+02,9.000898093054253e+02,2.378534890048278e-01,0.1915
F5,900.0,10,AO,9.010877077828202e+02,9.021821277515400e+02,9.016039667277033e+02,9.015420646487501e+02,4.489340467650015e-01,0.1738
F5,900.0,10,DBO,9.009042622288936e+02,9.071287348371465e+02,9.034017621460060e+02,9.021722893719782e+02,2.685729856020453e+00,0.1615
F6,1800.0,10,WSOA,5.734626445114734e+03,1.896224997971817e+04,1.022129196618273e+04,5.966999473715274e+03,6.181518667333964e+03,0.3327
F6,1800.0,10,PSO,5.270364223166794e+04,7.736525456446756e+04,6.615094401457773e+04,6.838393524759772e+04,1.019112254524762e+04,0.1381
F6,1800.0,10,DE,2.253812562818073e+03,2.983492545238549e+03,2.517252816149319e+03,2.314453340391336e+03,3.306094772911297e+02,0.3084
F6,1800.0,10,GA,1.251537950235022e+04,2.290311287804795e+04,1.678696083359552e+04,1.494239012038838e+04,4.436821836116647e+03,0.2844
F6,1800.0,10,ABC,1.081428218234493e+04,1.812410586113197e+04,1.398005164445537e+04,1.300176688988920e+04,3.063349076800462e+03,0.3001
F6,1800.0,10,GWO,3.240166440450290e+04,8.094246226773002e+04,5.458125674814174e+04,5.039964357219233e+04,2.003607880573815e+04,0.2830
F6,1800.0,10,WOA,4.254484388382629e+04,6.370475970544145e+04,5.207722719605604e+04,4.998207799890036e+04,8.764616249945628e+03,0.2276
F6,1800.0,10,SCA,4.669915938653392e+06,1.755921358348997e+07,9.427123313833838e+06,6.052240419358157e+06,5.777881639370716e+06,0.2111
F6,1800.0,10,HHO,1.275368079078979e+04,5.688521177085098e+04,3.132935035382937e+04,2.434915849984732e+04,1.868047671411383e+04,0.3542
F6,1800.0,10,MPA,2.359879356141093e+04,6.042392895004486e+04,3.747873285116630e+04,2.841347604204310e+04,1.634333319449291e+04,0.2151
F6,1800.0,10,AO,1.301798220342999e+04,3.387153974647638e+04,2.294224485485327e+04,2.193721261465342e+04,8.543039385104406e+03,0.1987
F6,1800.0,10,DBO,4.400662135060825e+04,8.648087001854111e+04,6.835417750077526e+04,7.457504113317642e+04,1.788928558711513e+04,0.1844
F7,2000.0,10,WSOA,2.026685325289228e+03,2.031820439418762e+03,2.029179646336167e+03,2.029033174300512e+03,2.098958443888757e+00,2.0375
F7,2000.0,10,PSO,2.030853791059000e+03,2.062222059956911e+03,2.042316384037521e+03,2.033873301096650e+03,1.412931492967092e+01,1.5957
F7,2000.0,10,DE,2.046503812825008e+03,2.058982228424096e+03,2.051037035916246e+03,2.047625066499632e+03,5.636716860065636e+00,1.8511
F7,2000.0,10,GA,2.023241872503814e+03,2.025830986067837e+03,2.024387542303040e+03,2.024089768337469e+03,1.077769073218939e+00,1.7380
F7,2000.0,10,ABC,2.019858968222598e+03,2.027811790128159e+03,2.024138562437636e+03,2.024744928962151e+03,3.274915198589658e+00,1.8384
F7,2000.0,10,GWO,2.034984683942395e+03,2.042346547144793e+03,2.039060810537149e+03,2.039851200524260e+03,3.056991407849702e+00,1.7917
F7,2000.0,10,WOA,2.036190399284948e+03,2.055814613993937e+03,2.043025505250999e+03,2.037071502474113e+03,9.050416658419804e+00,1.7537
F7,2000.0,10,SCA,2.085061187904139e+03,2.204274723078975e+03,2.146639248522428e+03,2.150581834584170e+03,4.874850241023565e+01,1.7249
F7,2000.0,10,HHO,2.042549230859071e+03,2.104318835478328e+03,2.075146920967054e+03,2.078572696563763e+03,2.533341623934801e+01,3.1289
F7,2000.0,10,MPA,2.024732311515334e+03,2.026680350067331e+03,2.025806235926383e+03,2.026006046196485e+03,8.077362020054396e-01,1.7445
F7,2000.0,10,AO,2.020828701561400e+03,2.054264332301345e+03,2.037086832001160e+03,2.036167462140735e+03,1.366551088079483e+01,1.6929
F7,2000.0,10,DBO,2.032754097974748e+03,2.118586110265529e+03,2.068581854375532e+03,2.054405354886319e+03,3.644643043149711e+01,1.7046
F8,2200.0,10,WSOA,2.211594761191384e+03,2.224789618608447e+03,2.220053744361863e+03,2.223776853285758e+03,5.995677365599533e+00,2.7256
F8,2200.0,10,PSO,2.252133815995884e+03,2.872512356443199e+03,2.498281507458131e+03,2.370198349935311e+03,2.689750357593890e+02,2.2456
